Nome,Alcance,Ação,Bônus,Custo,Duração,Efeito,Escala,Escalonamento de Custo,Limite de uso,Nível da Técnica,Observações,Penalidade,Requisitos,Subclasse,Subsistema,Tipo
Desvio Circular,,Ação Secundária,,1 PK,,Reduz dano recebido e pode reposicionar o usuário em curta distância.,"Escala com reflexos, leitura de ataque e fluxo.",,,,Técnica defensiva emblemática do Monge.,,,Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html),,Defensiva
Impacto Explosivo,,Ação Principal,"1d8 + Mod. Força.",2 PK,,Empurra o alvo e causa pressão de posicionamento.,Escala com força aplicada e domínio do combo.,,,,Excelente para controle de espaço e quebra de formação.,,,Lutador Marcial (Criar%20Personagem/Subclasses/Lutador%20Marcial%20f22504cbe8e64c239989510a0be1abfe.html),,Ofensiva
Sequência Devastadora,,Especial,,3 PK,,Permite dois ataques no mesmo turno.,"Escala fortemente com ritmo, bônus de acerto e sinergias de combo.",,,,Uma das principais técnicas de pressão do Lutador Marcial.,,,Lutador Marcial (Criar%20Personagem/Subclasses/Lutador%20Marcial%20f22504cbe8e64c239989510a0be1abfe.html),,Ofensiva
Corte Vibrante,,Ação Principal,,2 PK,,Ignora parte da defesa do alvo ao canalizar Ki na arma.,"Escala com proficiência marcial, arma usada e controle de Ki.",,,,Marca central do Mestre das Armas.,,,Mestre das Armas (Criar%20Personagem/Subclasses/Mestre%20das%20Armas%20433c51580f2a468cb90da2fe79aca051.html),,Ofensiva
Barreira Interna,,Ação Secundária,,2 PK,,Reduz dano mágico recebido.,Escala com intensidade espiritual e foco defensivo.,,,,Ferramenta anti-magia do Guerreiro Espiritual.,,,Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html),,Defensiva
Forma Espiritual,Pessoal,Ação Principal,"Ataques causam +1d8 espiritual, detecta entidades ocultas e reduz dano mágico em 2.",5 PK para ativar + 3 PK por turno,"Sustentada, até 4 turnos","Exterioriza o Ki em aura que interage com almas, espíritos e energia hostil.","No nível 25, ataques ignoram armadura comum; no nível 40, aura alcança 3 m ao redor.",,1 uso por combate até nível 30; 2 usos depois.,,Transformação especializada contra ameaças espirituais e mágicas.,-2 em testes físicos brutos e alto consumo por turno.,Usuário de Ki nível 15+; Sabedoria 18+,Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html),Transformação,Fluxo
Forma Agressiva,Pessoal,Ação Secundária,"+2 dano, +2 m deslocamento e +1 em testes ofensivos físicos.",4 PK para ativar + 2 PK por turno,"Sustentada, até 4 turnos",Converte fluxo em pressão ofensiva contínua.,"+1 dado de dano em ataques físicos a cada 10 níveis; no nível 30, ataques ganham +2 m de alcance de impacto.",,2 usos por combate.,,Forma de burst para encerrar confrontos rapidamente.,-2 Defesa e não pode usar postura defensiva enquanto mantida.,Usuário de Ki nível 8+; Sabedoria ou Força 16+,"Lutador Marcial (Criar%20Personagem/Subclasses/Lutador%20Marcial%20f22504cbe8e64c239989510a0be1abfe.html), Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html)",Transformação,Fluxo
Forma Defensiva,Pessoal,Ação Secundária,"+2 Defesa, resistência a empurrões e redução de dano físico em 1d6 por turno.",3 PK para ativar + 2 PK por turno,"Sustentada, até 5 turnos",Densifica o Ki em torno do corpo como malha protetora.,No nível 20 reduz dano físico em +2; no nível 35 passa a reduzir também dano mágico leve.,,2 usos por combate.,,Forma estável para tanques e duelistas de contenção.,-2 dano causado e deslocamento reduzido em 2 m.,Usuário de Ki nível 8+; Sabedoria 16+,"Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html), Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html)",Transformação,Fluxo
Forma Suprema,Pessoal,Ação Principal,"+3 ataque, +3 Defesa, +1d10 dano, +4 m deslocamento e imunidade a medo enquanto ativa.",8 PK para ativar + 5 PK por turno,Até 3 turnos,"Fusão extrema de corpo, fluxo e espírito em estado de supremacia marcial.","No nível 50, bônus dobram por 1 turno adicional se houver PK suficiente.",,1 uso por descanso curto; 2 no nível 50.,,"Transformação de pico, desenhada para momentos decisivos.","Ao terminar, fica Exausto por 2 turnos e perde 2 PK adicionais.",Usuário de Ki nível 35+; Sabedoria 20+; domínio de ao menos duas formas,"Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html), Lutador Marcial (Criar%20Personagem/Subclasses/Lutador%20Marcial%20f22504cbe8e64c239989510a0be1abfe.html), Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html)",Transformação,Fluxo
Detecção Básica,10 m + Modificador de Sabedoria × 2 m,Ação Secundária,,1 PK,1 turno,"Detecta presenças gerais, fontes de energia e aproximações hostis simples.","A cada 10 níveis, o alcance aumenta em +5 m.",,Sem limite fixo; restrito por PK.,,Não identifica posição exata nem intenção complexa.,,Usuário de Ki treinado,"Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html), Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html)",Detecção,Suporte
Detecção Intermediária,15 m + Modificador de Sabedoria × 3 m,Ação Secundária,,2 PK,2 turnos,"Determina posição aproximada, número de presenças e intensidade energética geral.","No nível 20, passa a diferenciar presença viva, espiritual e artificial.",,Sem limite fixo; restrito por PK.,,Base do radar de combate e patrulha.,,Usuário de Ki nível 10+,"Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html), Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html)",Detecção,Suporte
Detecção Avançada,20 m + Modificador de Sabedoria × 4 m,Ação Secundária,,3 PK,2 turnos,"Lê intenção hostil, prontidão de combate e flutuação de poder do alvo.","No nível 35, revela instabilidade, medo e exaustão energética visíveis na assinatura.",,4 ativações por combate recomendadas.,,Pode ser contestada por ocultação energética ou ilusões especializadas.,,Usuário de Ki nível 20+; Sabedoria 18+,Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html),Detecção,Suporte
Detecção Suprema,30 m + Modificador de Sabedoria × 5 m,Ação Principal,,5 PK,3 turnos,"Lê presença, posição, intenção, emoção dominante e assinatura espiritual com alta fidelidade.","No nível 50, pode distinguir mentiras energéticas e rastros de teleporte recente.",,2 ativações por combate; 3 no nível 50.,,"Radar espiritual de elite, útil para caça, guerra e contenção sobrenatural.",,Usuário de Ki nível 35+; Sabedoria 20+,Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html),Detecção,Suporte
Infusão Ecoante,Arma empunhada,Ação Principal,+1d8 energético no estado base.,3 PK,,Infunde Ki em arma ou objeto para duplicar parte do impacto energético.,Dano base + Mod. Sabedoria +1 dado por cada 10 níveis.,+1 PK a cada salto de dado acima do básico.,Sem limite enquanto houver Ki,Intermediária,Marca do Mestre das Armas para intensificar efeitos e dano.,,Mestre das Armas nível 5+,Mestre das Armas (Criar%20Personagem/Subclasses/Mestre%20das%20Armas%20433c51580f2a468cb90da2fe79aca051.html),Técnica,Ofensiva
Musculatura Explosiva,Corpo a corpo,Ação Principal,+5 de dano.,2 PK,,Infunde Ki nos músculos para fortalecer golpes curtos e brutais.,Dano base + Mod. Sabedoria + piso do nível/5.,+1 PK a cada 15 níveis ou golpe extra.,Sem limite enquanto houver Ki,Básica,Base do Lutador Marcial; a cada nível pode aprender um poder de Ki não transformativo.,,Lutador Marcial nível 1+,Lutador Marcial (Criar%20Personagem/Subclasses/Lutador%20Marcial%20f22504cbe8e64c239989510a0be1abfe.html),Técnica,Ofensiva
Lança Astral,18 m,Ação Principal,Pode atravessar um alvo e atingir o seguinte em linha.,4 PK,,Projeta Ki para fora do corpo em forma perfurante de longo alcance.,1d10 + Mod. Sabedoria + piso do nível/4.,+1 PK por alvo adicional ou por aumento de alcance.,Sem limite enquanto houver Ki,Avançada,Expressa o eixo do Guerreiro Espiritual: lançar Ki para fora do corpo.,,Guerreiro Espiritual nível 8+,Guerreiro Espiritual (Criar%20Personagem/Subclasses/Guerreiro%20Espiritual%204861740c915243a5ac801f4752cc9fe7.html),Técnica,Ofensiva
Forma do Dragão Sereno,Pessoal,Ação Principal,+2 m deslocamento e resistência a medo.,5 PK para ativar + 2 PK por turno,Até 4 turnos,"Transformação monástica que funde disciplina, alcance e pressão aérea de Ki.","+2 Defesa, +2 dano e +1d8 em sopro ou golpe em arco; cresce a cada 10 níveis.",+1 PK por turno após o terceiro turno sustentado.,2 usos por combate,Avançada,Nova transformação do Monge focada em domínio e presença espiritual.,-1 em furtividade.,Monge nível 15+,Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html),Transformação,Fluxo
Forma do Vazio Andante,Pessoal,Ação Principal,Microteleporte curto uma vez por turno.,7 PK para ativar + 3 PK por turno,Até 3 turnos,"Corpo do Monge entra em estado de silêncio absoluto, evasão e golpes sem peso visível.","+3 esquiva, +1 reação e dano espiritual crescente por nível.",+1 PK por cada reação extra ou microteleporte usado no turno.,1 uso por combate,Suprema,Transformação nova para o eixo evasivo e transcendente do Monge.,-10% dano direto em alvos blindados.,Monge nível 25+,Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html),Transformação,Fluxo
Forma do Colosso Fluido,Pessoal,Ação Principal,Ignora empurrão e recebe bônus contra Sobrecarregado.,8 PK para ativar + 4 PK por turno,Até 3 turnos,"O Monge amplifica massa corporal, elasticidade e impacto sem perder fluidez.","+4 dano, +2 Defesa e arremesso melhorado; escala por marcos de 10 níveis.",+1 PK por alvo adicional arremessado no turno.,1 uso por descanso curto,Ascendente,Transformação pesada para o Monge controlar campo e esmagar linhas.,-2 mobilidade.,Monge nível 35+,Monge (Criar%20Personagem/Subclasses/Monge%204c76234a1e5e44ffbee26ab9567a261b.html),Transformação,Fluxo
