Nome,Alcance,Categoria,Custo,Dano,Descrição,Desvantagem grave,Duração,Efeito mecânico,Escalonamento,Gatilho,Limite de uso,Observações,Origem,Recurso,Requisitos,Risco,Sistema,Vantagem
Teias Orgânicas,10 m,Flagelado,2 Mana por disparo,1d6,Glândulas produzem fios resistentes e aderentes.,"Se exposto a fogo, o usuário sofre 1d6 de dano por refluxo glandular.",3 turnos,"Pode imobilizar parcialmente, criar linha de deslocamento ou prender objetos.","A cada 10 níveis, a teia suporta um tamanho de criatura acima.",Disparo manual ou reação de pânico.,6 disparos por combate.,Poder clássico de controle e movimentação.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Acúmulo excessivo reduz deslocamento próprio em 2 m.,Flagelado,"Controle de campo, mobilidade e utilidade fora de combate."
Ossos Expostos,Pessoal ou 2 m,Flagelado,3 Mana,2d8 perfurante,O esqueleto projeta lâminas ósseas através da carne.,Ativar causa 1d6 de dano ignorando redução e sangramento leve.,2 turnos,Cria armas naturais e bônus contra armadura leve.,"No nível 20, ganha alcance +1 m; no 35, +1d8 de dano.",Comando consciente ou reflexo de sobrevivência.,3 ativações por combate.,Alto poder ofensivo com custo autolesivo.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Uso repetido pode fraturar os próprios ossos.,Flagelado,Arsenal natural sempre disponível.
Sangue Corrosivo,3 m,Flagelado,1d4 Vida + 1 Mana por liberação controlada,2d6 ácido,O sangue reage ao ar como agente corrosivo instável.,Feridas do usuário se tornam mais difíceis de estabilizar.,2 turnos,"Quando ferido ou ao abrir corte voluntário, respinga ácido em área curta.","A cada 10 níveis, o raio aumenta em +1 m ou o dano em +1d6.",Sangramento ou comando consciente.,4 liberações por combate.,Ferramenta reativa extremamente perigosa.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode destruir equipamento próprio se liberado sem controle.,Flagelado,Punitive contra inimigos agressivos em corpo a corpo.
Pele Rochosa,Pessoal,Flagelado,2 Mana por turno,1d6 contundente em contato forçado,A pele mineraliza em placas resistentes.,Deslocamento reduzido em 3 m e furtividade quase impossível.,3 turnos,Recebe +2 Defesa e redução fixa de 2 contra dano físico.,"No nível 25, a redução sobe para 4 e passa a resistir melhor a perfuração.",Ameaça direta ou preparação consciente.,3 ativações por combate.,Forma defensiva estável de Flagelado mineral.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,"Se quebrada por impacto muito alto, causa atordoamento leve.",Flagelado,Excelente mitigação e resistência frontal.
Olhos Predatórios,20 m,Flagelado,1 Mana,1d6 psíquico em marcação bem-sucedida,A visão do usuário fixa fraquezas e micro-movimentos com precisão animal.,"Enquanto uma marca estiver ativa, o usuário sofre -2 para perceber outras ameaças.",3 turnos,Marca um alvo e recebe +2 para acertá-lo ou persegui-lo.,"No nível 20, revela resistência dominante; no 35, ignora cobertura parcial.",Contato visual sustentado.,Sem limite fixo; 1 alvo marcado por vez.,Poder de rastreio e leitura ofensiva.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Obsessão predatória pode forçar foco indevido.,Flagelado,"Perseguição, caça e execução muito consistentes."
Pulmão Tóxico,Cone de 6 m,Flagelado,3 Mana,2d6 veneno,Os pulmões expelem gás químico letal ou narcótico.,"Após usar, o usuário sofre -2 em testes físicos até o próximo turno.",2 turnos,"Afeta área curta, podendo aplicar Esgotado ou Silenciado leve.","A cada 10 níveis, o cone cresce +2 m ou o dano aumenta +1d6.",Exalação forçada.,3 sopros por combate.,Poder forte em corredor ou emboscada.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,"Em ambiente fechado, também afeta aliados e o próprio usuário.",Flagelado,Controle de grupo e negação de espaço.
Garras Ressonantes,Pessoal,Flagelado,2 Mana,2d6 cortante + 1d6 sônico,Unhas se alongam e vibram em frequência cortante.,Cada ativação impõe 1d4 de dano nas mãos do usuário.,2 turnos,Ignora 1 ponto de armadura ou cobertura leve.,"A cada 15 níveis, o dano sônico aumenta em +1d6.",Ataque consciente.,4 ativações por combate.,Boa para duelistas flagelados.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode despedaçar equipamento delicado próprio.,Flagelado,Alta precisão contra defesa física.
Passo Fásico,8 m,Flagelado,2 Mana por passo,1d8 de ruptura em colisão,O corpo perde densidade por um instante e atravessa obstáculos finos.,"Se terminar o movimento em espaço inválido, sofre 3d6 de dano e é expelido para trás.",Instantânea,Ignora bloqueios leves e atravessa espaços estreitos.,"No nível 25, atravessa cobertura média; no 40, leva equipamento pesado sem penalidade.",Movimento consciente ou fuga instintiva.,5 ativações por combate.,Versão mais controlada do teletransporte instável.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Uso repetido causa náusea dimensional.,Flagelado,Mobilidade tática e infiltração excepcionais.
Mimetismo Carnal,Pessoal,Flagelado,2 Mana,—,A musculatura e a pele imitam traços físicos de outra criatura humanoide observada.,Mudanças prolongadas causam dor e -2 em testes físicos finos.,10 minutos ou 5 turnos em combate,Concede bônus em disfarce e infiltração visual.,"No nível 30, imita voz superficial; no 45, reduz chance de detecção tátil.",Observação detalhada do alvo.,3 ativações por cena.,"Mais narrativo, mas extremamente poderoso em campanha.",Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Falha crítica gera deformação parcial visível.,Flagelado,Poder de infiltração raríssimo e valioso.
Eco Parasitário,12 m,Flagelado,1 Mana por marca,1d6 psíquico por turno,Um fragmento anômalo do usuário se prende à mente do alvo e repete impulsos.,"Enquanto houver marca ativa, o usuário sofre -1 em Vontade por alvo marcado.",3 turnos,Marca o alvo e causa distração contínua.,"No nível 20, também reduz AM ou PK efetivo do alvo em 1.",Contato visual ou vocal.,3 marcas ativas por vez.,Poder de desgaste mental.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Falha de resistência pode devolver o eco contra o próprio usuário.,Flagelado,Controle persistente com custo baixo.
Explosão Óssea,Raio de 4 m,Flagelado,4 Mana + 1d6 Vida,3d8 perfurante em área,Fragmentos ósseos são ejetados violentamente do corpo em todas as direções.,O usuário fica com Defesa -2 até o fim do próximo turno.,Instantânea,Atinge múltiplos alvos próximos e pode causar Sangramento.,"No nível 20, o raio sobe para 5 m; no 40, o dano sobe para 4d8.",Encurralamento ou desespero.,2 vezes por descanso curto.,Poder explosivo de alto custo.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Autolesão severa se ativado repetidamente.,Flagelado,Excelente botão de emergência corpo a corpo.
Parasitas de Sombra,10 m,Flagelado,2 Mana por invocação,1d6 por turno,Pequenas formas sombrias vivas saltam da pele do usuário para morder energia e atenção.,"Se o alvo morrer sob o efeito, há chance dos parasitas tentarem retornar contra o usuário.",3 turnos,Atrapalha concentração e aplica -1 em testes mentais por turno.,"No nível 25, pode invocar 2 parasitas adicionais.",Comando consciente.,3 invocações por combate.,Poder híbrido entre dano e anti-concentração.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Necessita sombra disponível para estabilidade.,Flagelado,Ótimo contra conjuradores e suportes.
Campo de Febre,Raio de 3 m,Flagelado,3 Mana,2d6 por turno,O corpo emite calor anômalo e microrganismos invisíveis que desestabilizam o entorno.,Aliados também podem ser afetados se permanecerem próximos.,3 turnos,Inimigos próximos sofrem dano e -1 em testes físicos.,"A cada 15 níveis, o raio aumenta em +1 m.",Aumento deliberado da temperatura corporal.,3 ativações por combate.,A febre corruptiva passa a ser alimentada por Mana alterada.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,O usuário termina Exausto se mantiver o campo por duração total.,Flagelado,Zona de desgaste contínuo em curta distância.
Músculos Hiperativos,Pessoal,Flagelado,3 Mana,+1d8 em ataques físicos,Fibras musculares entram em explosão motora anômala.,"Ao fim do efeito, sofre -2 Força e Destreza por 1 turno.",2 turnos,Ganha ação de movimento extra e bônus em esquiva física.,"No nível 30, recebe também +1 em ataques; no 45, +1d8 adicional.",Impulso predatório ou comando consciente.,4 ativações por combate.,Ideal para explosões curtas de desempenho.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode romper tendões em falha crítica.,Flagelado,Velocidade e agressão física muito acima do padrão.
Boca Abissal,Toque,Flagelado,2 Mana,2d10 perfurante,A mandíbula se abre além do possível e devora matéria viva ou mágica.,"Se errar, o usuário fica sem reação até o próximo turno.",Instantânea,"Se atingir alvo agarrado, remove 1 efeito de barreira ou proteção leve.","No nível 25, causa +1d10 contra conjurações ativas; no 40, rouba 1d4 Mana.",Contato próximo e comando agressivo.,3 mordidas por combate.,Poder de Flagelado convertido para eixo de Mana; escalona melhor em níveis altos com amplificação interna.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode atacar instintivamente alvos errados em fome extrema.,Flagelado,Poder muito perigoso em controle corpo a corpo.
Nervo Elétrico,Toque ou 3 m por condução metálica,Flagelado,2 Mana,2d6 elétrico,A rede nervosa gera descargas rápidas e espasmódicas.,"Durante o efeito, o usuário sofre -1 em testes finos por tremor muscular.",2 turnos,Ataques corporais causam choque e podem retirar reação do alvo.,"No nível 20, o dano sobe para 3d6; no 35, pode saltar para um alvo adjacente.",Contato agressivo ou reflexo de defesa.,5 ativações por combate.,Poder versátil de interrupção.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Água ou metal expostos ampliam o risco de autochoque.,Flagelado,Ótimo contra inimigos blindados ou próximos.
Coração Extra,Pessoal,Flagelado,1 Mana por turno,—,Um órgão suplementar assume a circulação em momentos críticos.,"Ao terminar, o usuário sofre 1 nível de Exaustão.",4 turnos,Concede +2 em Fortitude e mantém o usuário consciente ao cair a 0 Vida por 1 turno.,"No nível 25, sustenta por 2 turnos em 0 Vida; no 40, concede +1d8 de recuperação ao ativar.",Quase morte ou comando consciente.,2 ativações por descanso curto.,O coração extra opera por saturação de Mana orgânica.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Falha crítica pode causar arritmia e Atordoado.,Flagelado,Sobrevivência extrema em momentos decisivos.
Membrana Alada,Pessoal / voo curto,Flagelado,3 Mana para abrir + 1 Mana por turno,1d6 cortante em rasante,Membranas laterais emergem do tronco ou braços e sustentam planagem agressiva.,As membranas são vulneráveis a fogo e perfuração.,4 turnos,Concede voo curto ou planagem com alto reposicionamento.,"No nível 20, ganha voo pleno por turnos curtos; no 40, rasante causa +1d6.",Salto ou ativação consciente.,2 ativações por combate.,Ótimo para exploração e caça.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,"Se rompidas em voo, sofre queda total.",Flagelado,Mobilidade vertical rara e excelente fuga.
Lodo Regenerativo,Pessoal / 2 m,Flagelado,2 Mana por turno,1d6 ácido no contato,O corpo secreta matéria gelatinosa que fecha feridas e corrói superfícies.,Reduz deslocamento em 2 m e prejudica furtividade.,3 turnos,Recupera 1d6 Vida por turno e deixa rastro escorregadio.,"No nível 25, a cura sobe para 2d6; no 40, o rastro dura +2 turnos.",Ferimento ou preparação.,3 ativações por descanso curto.,Poder híbrido defensivo e utilitário.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Fogo dobra o dano recebido enquanto o lodo estiver ativo.,Flagelado,Cura e controle de terreno ao mesmo tempo.
Chifre de Investida,Linha de 6 m,Flagelado,2 Mana,2d8 perfurante,Uma estrutura óssea frontal cresce e concentra impacto em avanço brutal.,"Se errar, o usuário fica com Defesa -2 até o próximo turno.",Instantânea,"Se mover ao menos 4 m em linha reta, causa dano extra e empurra o alvo.","A cada 15 níveis, o dano da investida recebe +1d8.",Corrida ofensiva.,4 investidas por combate.,A investida mutante agora consome Mana em vez de Energia Física.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode ficar preso em superfícies rígidas em falha grave.,Flagelado,Entrada poderosa para abrir combate e romper linha.
Ferro na Carne,Pessoal,Flagelado,3 Mana,2d8 contundente,Partes do corpo se adensam como metal vivo.,O usuário fica afundando ou lento em terreno frágil.,3 turnos,Ataques desarmados contam como armas pesadas e aplicam a condição Guarda Quebrada.,"No nível 20, ignora 2 pontos de armadura; no 35, dano sobe para 3d8.",Ativação consciente.,3 ativações por combate.,Versão agressiva de materialização corporal.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Magnetismo e eletricidade podem afetá-lo mais intensamente.,Flagelado,Excelente contra escudos e defesas físicas.
Glândula Ácida,8 m,Flagelado,2 Mana por disparo,2d8 ácido,Reservatórios internos produzem jatos corrosivos concentrados.,Cada uso causa 1d4 de dano interno se o alvo estiver muito próximo.,2 turnos,Pode reduzir armadura ou destruir objetos frágeis.,"A cada 10 níveis, o dano recebe +1d8 ou o alcance +2 m.",Exalação ou cuspida forçada.,4 disparos por combate.,Poder ofensivo direto e destrutivo.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Falha crítica vaza ácido sobre o próprio usuário.,Flagelado,Ótimo contra equipamento e fortificações leves.
Voz de Enxame,Cone de 8 m,Flagelado,2 Mana,1d6 sônico + 1d6 psíquico,A voz se multiplica em centenas de ecos orgânicos ao redor do alvo.,O usuário perde a própria fala normal por 1 turno após usar.,2 turnos,"Impõe medo leve, distração e dificuldade de comunicação.","No nível 30, afeta um raio em vez de cone; no 45, aumenta o dano psíquico em +1d6.",Grito ou canto forçado.,3 ativações por combate.,Ferramenta de caos tático.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode atrair criaturas sensíveis a som ou mente.,Flagelado,Controle de multidão e desorganização de formação.
Braços Suplementares,Pessoal,Flagelado,3 Mana,+1d6 em ataques múltiplos,Membros extras emergem do dorso ou costelas.,Coordenação fina piora: -2 em testes delicados enquanto ativo.,3 turnos,"Permite segurar mais itens, agarrar múltiplos alvos ou realizar ataque adicional simples.","No nível 25, o ataque extra recebe bônus total; no 40, braços extras ganham alcance +1 m.",Necessidade de combate ou manipulação pesada.,3 ativações por combate.,Membros adicionais agora são sustentados por Mana mutagênica em vez de Energia Física.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Dor de retração ao encerrar causa -1 Defesa até o próximo turno.,Flagelado,Economia de ação e controle físico muito acima do normal.
Salto Inumano,6 m + Modificador físico × 2 m,Flagelado,2 Mana,2d6 contundente em aterrissagem ofensiva,As pernas acumulam potência anômala e lançam o corpo em arco brutal.,"Se errar a aterrissagem, fica Caído automaticamente.",Instantânea,Permite salto horizontal ou vertical extremo e aterrissagem ofensiva.,"A cada 10 níveis, recebe +2 m no salto e +1d6 na aterrissagem.",Impulso de fuga ou avanço.,Sem limite fixo; restrito por EF.,Muito útil para personagens caçadores.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Excesso de uso gera lesão articular e -2 deslocamento.,Flagelado,Mobilidade explosiva simples e eficiente.
Costura Instantânea,Pessoal ou toque em aliado,Flagelado,2 Mana,—,Fibras orgânicas fecham cortes como sutura viva.,"Se usado em excesso, a área curada perde mobilidade e impõe -1 em testes físicos.",Instantânea,Remove Sangramento e cura 1d8 de Vida imediata.,"No nível 20, cura 2d8; no 35, pode estabilizar estado crítico sem teste.",Ferimento aberto.,4 usos por descanso curto.,A recomposição de carne é agora uma técnica de Mana degenerativa.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Costura defeituosa pode prender tecido ou equipamento ao corpo.,Flagelado,Cura utilitária valiosa fora do circuito mágico.
Dobra Articular,Pessoal,Flagelado,1 Mana,1d6 ao aplicar chave ou imobilização,"As articulações se dobram de forma impossível, mudando ângulos e alcance corporal.","Após o efeito, sofre dor estrutural: -2 em Força por 1 turno.",2 turnos,"Ganha bônus em agarrões, fuga de imobilização e ataques por ângulos improváveis.","No nível 25, recebe +2 em reflexos corporais; no 45, +1 m de alcance funcional.",Esquiva ou travamento corporal.,Sem limite fixo; restrito por EF.,Muito forte para duelistas técnicos.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode luxar articulações permanentemente em falha crítica.,Flagelado,Movimento imprevisível e domínio em grappling.
Fome de Mana,Toque ou 2 m em alvo conjurando,Flagelado,1 Mana para ativar,1d8 psíquico ao drenar conjurador,O corpo devora resíduos mágicos e se fortalece à custa de conjuradores.,"Se não houver Mana para drenar, o usuário sofre compulsão e -2 em Vontade.",2 turnos,"Quando atinge alvo com Mana, rouba 1d4 Mana e recebe bônus leve em cura ou dano.","No nível 30, drena 1d6 Mana; no 45, também enfraquece a AM do alvo em 1.",Presença de magia ativa.,3 drenagens por combate.,Poder anti-arcano muito perigoso socialmente.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode atacar conjurações aliadas por instinto.,Flagelado,Excelente contra magos e híbridos.
Marca Contagiosa,Toque,Flagelado,2 Mana,1d6 por turno,Uma marca anômala se espalha pelo alvo e sabota sua resistência.,"Se o alvo resistir totalmente, a marca recua e atinge o usuário por 1 turno.",3 turnos,O alvo recebe -1 em resistências físicas e sofre dano contínuo leve.,"No nível 25, a penalidade sobe para -2; no 40, pode saltar para outro alvo adjacente.",Contato direto ou ferida aberta.,4 marcas por combate.,Ótimo para lutas longas.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode contaminar aliados em contato prolongado.,Flagelado,Poder de desgaste confiável e cumulativo.
Espinhos Reflexos,Pessoal / adjacente,Flagelado,2 Mana,2d6 perfurante reativo,Espinhos saem da pele em resposta a impacto ou agarrão.,Prejudica aliados que tentem curar ou tocar o usuário.,2 turnos,Inimigos que acertam ataques corpo a corpo recebem dano de retorno.,"No nível 20, o dano sobe para 3d6; no 40, também causa Sangramento leve.",Ser atingido ou agarrado.,4 ativações por combate.,Excelente contra swarm melee.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode rasgar a própria armadura.,Flagelado,Defesa reativa eficiente contra pressão próxima.
Névoa Hemática,Raio de 4 m,Flagelado,1d6 Vida + 2 Mana,2d6 por turno,O sangue vaporizado se torna névoa que enfraquece respiração e foco.,"O custo é Vida direta, ignorando redução.",3 turnos,Cria obscurecimento médio e impõe -1 em testes físicos e mentais.,"No nível 25, o raio sobe para 5 m; no 40, o dano sobe para 3d6.",Sangramento voluntário.,2 ativações por combate.,Poder sacrificial e ameaçador.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode deixar rastros biológicos fáceis de rastrear.,Flagelado,Controle de área e pressão simultâneos.
Pupila de Caça,Linha de visão / rastros,Flagelado,1 Mana,1d6 extra contra alvo rastreado,"Os olhos interpretam calor, pressão, cheiro e vibração como um mapa de perseguição.","Enquanto fixa uma presa, ignora perigos secundários.",Cena ou 5 turnos,"Concede bônus em rastreio, percepção e precisão contra um alvo escolhido.","No nível 20, identifica ferimentos; no 40, prevê rota provável de fuga.",Visualizar ou rastrear alvo.,1 alvo principal por vez.,Versão superior de olhos predatórios.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Obsessão crescente se a presa escapar repetidamente.,Flagelado,Ferramenta excelente de perseguição e assassinato.
Pele Camaleônica,Pessoal,Flagelado,1 Mana por turno em combate,—,"A pele reflete cor, textura e luminosidade do ambiente.","Se receber dano em área, perde a camuflagem automaticamente e sofre -2 Defesa até o próximo turno.",Até 5 turnos,Concede bônus massivo em furtividade visual e emboscada.,"No nível 30, reduz percepção passiva de inimigos em 2; no 45, permanece eficaz em movimento lento.",Imobilidade ou foco consciente.,Sem limite fixo; restrito por EF.,Poder clássico de predador furtivo.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Ambientes extremamente brilhantes podem gerar padrões falhos.,Flagelado,Infiltração e emboscada muito acima do padrão.
Cópia Instintiva,Conforme ação copiada,Flagelado,2 Mana,Repete dano base da técnica copiada com -1 dado,O corpo reproduz de forma imperfeita um movimento ou técnica física recém-observada.,"Se tentar copiar algo além do limite, sofre 2d6 de dano estrutural.",1 turno,"Pode copiar uma manobra marcial, salto, investida ou postura física simples.","No nível 25, penalidade cai para meio dado equivalente; no 45, mantém a cópia por 2 turnos.",Observar técnica corporal diretamente.,3 cópias por combate.,"Não copia magia nem Ki puro, apenas expressão física.",Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Memória corporal errada pode comprometer postura defensiva.,Flagelado,Adaptabilidade impressionante contra lutadores físicos.
Latido do Vazio,Cone de 10 m,Flagelado,3 Mana,2d8 psíquico,O usuário emite som que parece vir de um espaço morto entre pensamentos.,"Após usar, o usuário sofre -2 em Carisma até o fim da cena por distorção vocal.",1 turno,"Impõe medo, silêncio momentâneo e quebra de concentração.","No nível 20, o cone aumenta para 12 m; no 40, aplica também Instável em conjuradores.",Grito forçado.,3 ativações por combate.,Poder intimidador e antissinergia contra magia.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode chamar atenção de entidades sensíveis ao vazio.,Flagelado,Contramedida excelente contra grupos e conjuradores.
