Nome,Alcance,Base Elemental,Comportamento único,Custo base,Dano base,Duração,Efeito secundário,Elementos,Escalonamento,Limite de uso,Observações,Requisitos,Tier,Tipo
Névoa,14 m,Água + Ar,Cria véu espesso que distorce visão e deslocamento.,11 Mana,2d6,3 turnos,Concede obscurecimento médio e -2 em Pontaria dentro da área.,"Sem título (https://www.notion.so/3a3ab9cea0e94e8085fd1a2c1985a0bc?pvs=21), Sem título (https://www.notion.so/5be4c6f7ab47445ea210b482311aa6fe?pvs=21), Sem título (https://www.notion.so/aa6f6595fbbc43b68f3cab5c5c862ebf?pvs=21)","Nos níveis 10, 20, 30, 40 e 50, recebe +1d6 de dano por marco ou amplia ocultação, confusão e redução de precisão inimiga.",Sem limite fixo; restrito por Mana.,"Focada em campo de visão, infiltração e controle suave.",Domínio de Água e Ar,Intermediário,Elemental
Terra,8 m,Terra,Ergue massa mineral compacta para esmagar ou bloquear avanço.,7 Mana,1d10,Instantânea,Reduz deslocamento do alvo em 2 m até o próximo turno.,Sem título (https://www.notion.so/4a82abb5b61d4811be05c9311f8a1282?pvs=21),"Nos níveis 10, 20, 30, 40 e 50, recebe +1d10 de dano ou amplia dureza, cobertura e controle do terreno.",Sem limite fixo; restrito por Mana.,"Elemento básico de impacto, barreira e domínio posicional.",Elemento básico do repertório arcano,Básico,Elemental
Tempestade,18 m,Ar + Eletricidade,Forma frente tempestuosa que percorre linha ou cone com impacto contínuo.,16 Mana,2d10,2 turnos,Pode aplicar Atordoado leve ou retirar reação de até 2 alvos.,"Sem título (https://www.notion.so/5be4c6f7ab47445ea210b482311aa6fe?pvs=21), Sem título (https://www.notion.so/6fe60578b1684bbc929eaff1b22858bc?pvs=21), Sem título (https://www.notion.so/b151b98665214ca8ab6868516d77bb68?pvs=21)","Nos níveis 10, 20, 30, 40 e 50, recebe +1d10 de dano por marco ou amplia linha de impacto, empurrão e paralisia.",Sem limite fixo; restrito por Mana.,"Escala em alcance, multi-alvo e ruptura de formação.",Domínio de Ar e Eletricidade,Intermediário,Elemental
Trevas Profundas,14 m,Sombra + Eletrecidade,"Aprofunda a ausência de luz até distorcer sentido, coragem e foco.",17 Mana,2d10,3 turnos,Aplica penalidade em percepção e pode silenciar conjuração verbal fraca por 1 turno.,Sem título (https://www.notion.so/892b3ad824474cf08bf426703f5ec75e?pvs=21),"Nos níveis 10, 20, 30, 40 e 50, recebe +1d10 de dano por marco ou amplia medo, drenagem e obscurecimento total.",Sem limite fixo; restrito por Mana.,"Escala em pressão psicológica, debuff e domínio de área escura.",Domínio de Sombra e canal energético instável,Intermediário,Elemental
Gravidade,18 m,Terra + Espaço + densidade arcana,"Cria ponto gravitacional que comprime, puxa e deforma deslocamentos.",26 Mana,3d10,2 turnos,Alvos sofrem -3 m de deslocamento e podem ser puxados 3 m por turno.,"Sem título (https://www.notion.so/092f3572bc91412d99c8ff12796d4e73?pvs=21), Sem título (https://www.notion.so/4a82abb5b61d4811be05c9311f8a1282?pvs=21), Sem título (https://www.notion.so/dead167c0fec4d7c9c324c8f4a660198?pvs=21)","Nos níveis 10, 20, 30, 40 e 50, recebe +1d10 de dano por marco ou amplia peso, sucção e zonas de lentidão severa.",3 usos por descanso curto recomendados.,Escala como magia de controle pesado e colapso posicional.,Domínio de Terra e Metal,Avançado,Elemental
Tempo,14 m,Luz + Espaço + fluxo arcano,Acelera ou desacelera janelas temporais locais.,34 Mana,3d8,2 turnos,Aplica Lentidão severa em inimigos ou bônus de deslocamento em aliado.,"Sem título (https://www.notion.so/d1779b85179e4a7cbada0b96dba6d18b?pvs=21), Sem título (https://www.notion.so/6171e7eeaef2471fb53cfc0188924424?pvs=21), Sem título (https://www.notion.so/092f3572bc91412d99c8ff12796d4e73?pvs=21)","Nos níveis 10, 20, 30, 40 e 50, recebe +1d8 de dano por marco ou amplia atraso temporal, aceleração aliada e janelas extras de efeito.",2 usos por combate; 1 uso adicional no nível 40+.,Magia avançada focada mais em ação e controle do que em dano bruto.,Domínio de Luz e Gravidade,Avançado,Elemental
Espaço,20 m,Ar + Luz + distorção arcana,"Rasga, dobra ou encurta trajetórias entre dois pontos do campo.",32 Mana,3d10,1 turno,Reposiciona alvo até 4 m ou ignora cobertura parcial.,"Sem título (https://www.notion.so/dead167c0fec4d7c9c324c8f4a660198?pvs=21), Sem título (https://www.notion.so/5be4c6f7ab47445ea210b482311aa6fe?pvs=21), Sem título (https://www.notion.so/6171e7eeaef2471fb53cfc0188924424?pvs=21)","Nos níveis 10, 20, 30, 40 e 50, recebe +1d10 de dano por marco ou amplia teleporte curto, distorção de trajetória e corte dimensional.",3 usos por descanso curto recomendados.,"Excelente para reposicionamento, proteção e negação de linha.",Domínio de Ar e Luz,Avançado,Elemental
Plasma,16 m,Fogo + Eletricidade,Concentra matéria superionizada em rajada de altíssima temperatura.,28 Mana,4d8,1 turno,Aplica queimadura severa: 1d8 por 1 turno e remove proteção frágil.,"Sem título (https://www.notion.so/b9ac5c0cfbc547b08215daca99df2377?pvs=21), Sem título (https://www.notion.so/edcdb7ab7340467f945079fdf302a3ae?pvs=21), Sem título (https://www.notion.so/6fe60578b1684bbc929eaff1b22858bc?pvs=21)","Nos níveis 10, 20, 30, 40 e 50, recebe +1d8 de dano por marco ou amplia perfuração térmica, explosão e dano residual.",4 usos por descanso curto recomendados.,Avançada agressiva de alto burst e penetração.,Domínio de Fogo e Eletricidade,Avançado,Elemental
Buraco Negro,24 m,Gravidade + Espaço + Sombra + Tempo,Cria singularidade instável que puxa inimigos 4 m por turno para o centro e distorce o campo ao redor.,90 Mana,4d12 por turno,"1 turno + 1 turno a cada 2 níveis de AM, máximo 4 turnos","Terreno em 6 m torna-se difícil, projéteis sofrem desvio e alvos centrais podem ficar Imobilizados.","Sem título (https://www.notion.so/092f3572bc91412d99c8ff12796d4e73?pvs=21), Sem título (https://www.notion.so/dead167c0fec4d7c9c324c8f4a660198?pvs=21), Sem título (https://www.notion.so/892b3ad824474cf08bf426703f5ec75e?pvs=21), Sem título (https://www.notion.so/d1779b85179e4a7cbada0b96dba6d18b?pvs=21)","AM 0–1: 4d12 por turno por 1 turno; AM 2–3: dura 2 turnos; AM 4–5: dura até 4 turnos, amplia sucção e área; níveis 30, 40 e 50 aumentam o raio e a resistência para escapar.","1 uso por descanso longo; no nível 50, 2 usos por descanso longo para magos especializados.","Mantém altíssimo custo e, no nível 50, pode atingir o limite de 2 usos por descanso longo.","Domínio de Gravidade, Espaço e Sombra; Inteligência 24+",Supremo,Elemental
Cristal,12 m,Terra + Luz + ressonância arcana,"Materializa prismas cortantes, paredes facetadas ou agulhas de contenção.",24 Mana,3d8,3 turnos,Pode prender parcialmente o alvo ou criar cobertura rígida de cristal.,"Sem título (https://www.notion.so/bc541c5bbbcc42fcb3dca2f249fb4b9b?pvs=21), Sem título (https://www.notion.so/4a82abb5b61d4811be05c9311f8a1282?pvs=21), Sem título (https://www.notion.so/6171e7eeaef2471fb53cfc0188924424?pvs=21)","Nos níveis 10, 20, 30, 40 e 50, recebe +1d8 de dano por marco ou amplia reflexão, aprisionamento e barreiras cristalinas.",Sem limite fixo; restrito por Mana.,"Escala bem em controle, defesa e dano perfurante.",Domínio de Terra e Luz,Avançado,Elemental
Aniquilação,18 m,Luz + Sombra + Plasma + Espaço,"Libera feixe de extinção que desfaz matéria, energia e defesa em linha reta.",120 Mana,6d12,Instantânea,Ignora resistência parcial e pode remover barreiras comuns do trajeto.,,"Nos níveis 20, 30, 40 e 50, aumenta dano, remoção de resistência e severidade do colapso energético em área.",1 uso por descanso longo e exige 1 turno de preparação.,Suprema destrutiva de custo extremo e uso raríssimo.,"Domínio de Luz, Sombra e Plasma",Supremo,Elemental
Singularidade,20 m,Gravidade + Espaço + Plasma + Tempo,Condensa massa arcana em um ponto de colapso instantâneo com implosão devastadora.,100 Mana,5d12,Instantânea,Puxa todos os alvos em 5 m ao redor 2 m para o centro e quebra cobertura frágil.,"Sem título (https://www.notion.so/092f3572bc91412d99c8ff12796d4e73?pvs=21), Sem título (https://www.notion.so/dead167c0fec4d7c9c324c8f4a660198?pvs=21), Sem título (https://www.notion.so/b9ac5c0cfbc547b08215daca99df2377?pvs=21), Sem título (https://www.notion.so/d1779b85179e4a7cbada0b96dba6d18b?pvs=21)","Nos níveis 20, 30, 40 e 50, aumenta dano, raio de compressão e dificuldade para escapar; AM alto converte dano em colapso espacial residual.",1 uso por descanso longo.,Suprema de compressão extrema e risco elevado ao próprio campo.,Domínio de Buraco Negro e Plasma,Supremo,Elemental
Realidade,20 m,Espaço + Tempo + Luz + Sombra,"Reescreve uma área limitada do campo, alterando regras locais de luz, distância e matéria.",110 Mana,4d12,3 turnos,"Pode conceder cobertura absoluta a aliados, reduzir deslocamento inimigo e causar dano inicial de ruptura.","Sem título (https://www.notion.so/dead167c0fec4d7c9c324c8f4a660198?pvs=21), Sem título (https://www.notion.so/d1779b85179e4a7cbada0b96dba6d18b?pvs=21), Sem título (https://www.notion.so/6171e7eeaef2471fb53cfc0188924424?pvs=21), Sem título (https://www.notion.so/892b3ad824474cf08bf426703f5ec75e?pvs=21)","Nos níveis 20, 30, 40 e 50, amplia alcance de reescrita local, duração do efeito impossível e severidade do colapso de cenário.",1 uso por descanso longo.,Suprema versátil que altera regras locais por curta duração.,"Domínio de Espaço, Tempo, Luz e Sombra",Supremo,Elemental
Caos,18 m,Fogo + Sombra + Eletricidade + distorção arcana,"Libera instabilidade pura que alterna dano, controle, ruptura e deslocamento aleatoriamente em padrões previsíveis por tabela.",85 Mana,4d10,3 turnos,"A cada turno, rola-se um efeito extra entre queimadura, choque, medo ou distorção de posição.","Sem título (https://www.notion.so/edcdb7ab7340467f945079fdf302a3ae?pvs=21), Sem título (https://www.notion.so/892b3ad824474cf08bf426703f5ec75e?pvs=21), Sem título (https://www.notion.so/6fe60578b1684bbc929eaff1b22858bc?pvs=21)","Nos níveis 20, 30, 40 e 50, aumenta o número de efeitos simultâneos, o dano variável e a instabilidade infligida.",2 usos por descanso longo; cada uso após o primeiro aumenta risco de Instável.,Suprema imprevisível de múltiplos efeitos e grande risco narrativo.,"Domínio de Fogo, Sombra e Eletricidade",Supremo,Elemental
Raio de Mana,18 m,Nenhuma,"Disparo linear de mana condensada, simples e estável.",4 Mana,1d6,Instantânea,"Sem efeito secundário base; em AM 2, pode empurrar 1 m.",,"Nos níveis 10, 20, 30, 40 e 50, recebe +1d6 de dano; AM alto converte parte do dano em perfuração arcana.",Sem limite fixo; restrito por Mana.,"É a magia não elemental básica do sistema, funcionando como projétil universal de baixo dano.",Nenhum,Tático,Não Elemental
