Nome,Como remover,Duração,Efeito,Impacto,Tipo
Mana Corrompida,"Purificação, descanso, catalisador limpo ou ritual.",Até purificação ou renovação arcana,"Magias saem instáveis, com chance de efeito colateral.",Transforma magia em risco imprevisível.,Energética
Sobrecarga Mágica,"Passagem de turno, redução de carga ou suporte estabilizador.",Até o próximo turno,Fica atordoado ou sem ação grande após conjuração pesada.,Pune explosões arcanas seguidas.,Energética
Vazio Arcano,"Recuperação de Mana, foco externo ou ritual de restauração.",1–4 turnos,Incapaz de usar magia temporariamente.,Apaga o arsenal mágico em momento crítico.,Energética
Canalização Quebrada,"Nova concentração, postura adequada ou proteção contra interrupção.",1 turno ou até reestabilizar,Magia ou técnica é interrompida antes de completar o fluxo.,Destrói conjurações longas e sustentação delicada.,Energética
Drenado,"Quebra do vínculo, proteção energética ou restauração.",Até interromper a drenagem,Perde recursos continuamente a cada turno.,Enfraquece qualquer build dependente de recurso.,Energética
Eco Arcano,"Aterramento arcano, purificação ou dissociação do eco.",1–2 turnos,Uma magia pode se repetir de forma imprevisível no turno seguinte.,Pode virar vantagem caótica ou acidente grave.,Energética
Exposto,"Reposicionamento, defesa ativa ou cobertura.",Até o próximo turno ou até recuperar postura,Defesa reduzida por abertura clara na guarda.,Abre janela para combo e burst inimigo.,Tática
Desestabilizado,"Recentrar, proteger ou superar resistência.",1–3 turnos,Tem chance real de falhar ações complexas.,Piora confiabilidade de habilidades-chave.,Tática
Provocado,"Resistência mental, quebra de visão ou suporte aliado.",1–2 turnos,É forçado a priorizar um alvo ou perder eficiência.,Controla alvo prioritário e desvia foco.,Tática
Desarmado,"Recuperar arma, sacar reserva ou improvisar.",Até rearmar,Fica sem arma equipada até recuperar ou sacar outra.,Derruba ritmo de dano armado e postura ofensiva.,Tática
Marcado,"Quebra de linha, limpeza tática ou dissipação do efeito.",1–3 turnos,Recebe dano extra de inimigos que reconhecem a marca.,Facilita foco coletivo e execução rápida.,Tática
Contra-Atacado,Reposicionamento ou cobertura imediata.,Até o próximo turno,Fica vulnerável após errar um golpe crítico ou previsível.,Pune all-in mal calculado.,Tática
Sob Pressão,"Alívio de ameaça, apoio aliado ou pausa tática.",1–3 turnos,Sofre penalidade ao tomar decisões rápidas ou múltiplas.,Enfraquece comandantes e controladores sob foco.,Tática
Surdo,"Cura sensorial, dissipação ou recuperação física.",1 cena ou até cura,"Não escuta comandos, alarmes ou aproximações sonoras.","Quebra coordenação, percepção e resposta a suporte.",Sensorial
Desorientado,"Referência externa, estabilização ou teste adequado.",1–4 turnos,Perde noção de direção e posicionamento relativo.,"Compromete fuga, flanco e navegação tática.",Sensorial
Visão Dupla,"Tratamento ocular, cura ou dissipação.",1–3 turnos,Ataques e leituras visuais têm chance de erro.,Reduz precisão e mira refinada.,Sensorial
Alucinado,"Âncora mental, cura, dissipação ou contenção.",2–5 turnos,Vê coisas irreais e pode reagir a ameaças falsas.,Destrói leitura confiável do campo.,Sensorial
Rastreado,"Ocultação superior, limpeza do rastro ou bloqueio sensorial.",Cena ou até romper a marca,Sua posição ou assinatura permanece revelada.,Anula furtividade e facilita perseguição.,Sensorial
À Beira da Morte,"Cura urgente, estabilização ou intervenção dramática.",Até estabilização imediata,Qualquer dano relevante pode finalizar o personagem.,Estado terminal de altíssima tensão.,Extrema
Colapsado,"Descanso, cura, reanimação ou recuperação de recurso.",Até recuperar recursos ou consciência,Não consegue agir nem sustentar habilidade.,Remove o alvo do ritmo de combate.,Extrema
Alma Fragmentada,"Ritual profundo, purificação maior ou reconstrução espiritual.",Persistente até ritual de reparo,"Afeta magia, identidade e estabilidade espiritual.","Desorganiza memória, conjuração e sentido de eu.",Extrema
Corrompido,"Purificação severa, sacrifício, ritual ou tratamento contínuo.",Progressiva,Evolui negativamente ao longo do tempo se não tratado.,Pressão narrativa e mecânica de longo prazo.,Extrema
Instinto de Sobrevivência,Acaba sozinho ou por estabilização externa.,1–2 turnos,Recebe bônus extremo temporário em troca de queda depois.,Último recurso explosivo antes do colapso.,Extrema
Ancorado,"Quebra dimensional, dissipação ou força superior.",1–4 turnos,"Não pode ser movido, empurrado ou teleportado.",Excelente contra controle de espaço e deslocamento.,Especial
Deslocado,"Reancorar, estabilizar tempo-espaço ou dissipar.",1–3 turnos,Fica fora de sincronia com a realidade por instantes.,Pode evitar ou falhar ações de forma estranha.,Especial
Eco Temporal,Estabilização temporal ou ruptura do eco.,1–2 turnos,Repete parcialmente uma ação passada de forma involuntária.,Gera loops imprevisíveis de valor ou desastre.,Especial
Gravidade Alterada,"Reequilíbrio espacial, dissipação ou terreno estável.",1–4 turnos,"Movimento fica estranho, pesado ou flutuante.","Complica corpo a corpo, salto e esquiva.",Especial
Marca do Caos,"Purificação caótica, selo ou drenagem do efeito.",1 cena curta ou até purificação,Sofre efeito aleatório diferente a cada turno.,Condição meme-perigosa com alto potencial narrativo.,Especial
