Nome,Alcance,Amplificação Mágica Extra,Atributo Afetado,Ação Secundária Extra,Bônus,Categoria,Classes,Crítico,Custo,Dano,Defesa,Defesa Extra,Durabilidade,Efeito,Escala com,Escalonamento,Limite de uso,Observações,Penalidade,Peso,Raridade,Reação Extra,Requisitos,Subtipo,Valor do Modificador
Garras de Ki,Corpo a corpo,,,,Recebe +1 dano por cada 10 Ki acima de metade da reserva,Arma,,20 / +1d8 de Ki,2 Ki por ataque,1d8 + Mod. de Sabedoria ou Destreza,,,Alta,Dano aumenta conforme o Ki restante.,Sabedoria ou Destreza,"A cada 10 níveis, recebe +1d8 de dano energético e aumenta a conversão de Ki restante em dano.",Sem limite enquanto houver Ki,Arma ideal para pressão marcial sustentada.,Perde eficiência com Ki baixo,,Raro,,Subclasse de Ki,Arma Leve,
Espada Curta Elétrica,Corpo a corpo,,,,Acertos críticos elevam chance de paralisia,Arma,,19–20 / x2 com chance elevada de paralisar,—,1d8 + Mod. de Destreza,,,Média,Chance de paralisar por 1 turno.,Destreza,"Nos níveis 10, 20, 30, 40 e 50, recebe +1d8 elétrico extra e melhora a paralisia.",Sem limite,Boa arma híbrida entre dano e interrupção.,Efeito depende de resistência do alvo,,Incomum,,Nenhum,Arma Leve,
Punhal Fantasma,Corpo a corpo,,,,30% de chance de atravessar armadura,Arma,,19–20 / x2 se atravessar armadura,—,1d6 + Mod. de Destreza,,,Baixa,Golpes parcialmente etéreos ignoram proteção física.,Destreza,"Nos níveis 15, 30 e 45, a chance de atravessar armadura aumenta e o dano furtivo recebe +1d6.",Sem limite,Arma furtiva de penetração inconsistente.,Durabilidade baixa,,Raro,,Afinidade com sombra ou técnica furtiva,Arma Leve,
Lâmina de Vento Curvo,Corpo a corpo,,,,Ataques ignoram 20% da Defesa do alvo,Arma,,19–20 / x2,—,1d6 + Mod. de Destreza,,,Média,Cortes aerodinâmicos mantêm precisão em movimento.,Destreza,"A cada 10 níveis, aumenta a penetração de Defesa em +5% e ganha +1d6 de dano em alvos móveis.",Sem limite,Excelente para duelistas rápidos.,Dano base baixo,,Incomum,,Nenhum,Arma Leve,
Adaga de Cinzas,Corpo a corpo,,,,+1 em furtividade ao sacar rapidamente,Arma,,20 / +1d6 de fogo no crítico,—,1d6 + Mod. de Destreza,,,Média,Aplica queimadura leve (1d4 por 2 turnos).,Destreza,"Nos níveis 10, 20, 30, 40 e 50, recebe +1d6 de dano base ou +1 turno na queimadura; em nível alto, a queimadura acompanha o modificador de Destreza.",Sem limite,Arma leve de pressão rápida e dano residual.,Baixo alcance,,Incomum,,Nenhum,Arma Leve,
Faca Ritualística,Corpo a corpo,,,,+1d6 se o alvo estiver com condição,Arma,,20 / dobra o bônus contra condição,—,1d6 + Mod. de Destreza ou Inteligência,,,Média,Sinergia direta com alvos debilitados.,Destreza ou Inteligência,"A cada 10 níveis, o bônus contra alvos com condição aumenta em +1d6 e pode ignorar resistência leve.",Sem limite,Arma tática para combos com condições.,Valor cai contra alvos íntegros,,Incomum,,Conhecimento ritual opcional,Arma Leve,
Adaga Sombria,Corpo a corpo,,Destreza,,+2d6 de dano em furtividade,Arma,,19–20 / x2 em furtividade,—,1d6 + Mod. de Destreza,,,Média,Aumenta dano ao atacar sem ser percebido.,Destreza,"Nos níveis 15, 30 e 45, o bônus furtivo recebe +1d6 adicional e pode critar com maior consistência.",Sem limite,Arma assassina de abertura.,Perde bônus após ser revelada,,Raro,,Treino de furtividade,Arma Leve,2
Foice de Mão,Corpo a corpo,,,,Crítico em 19–20,Arma,,19–20 / x2,—,1d8 + Mod. de Destreza,,,Alta,Curva curta favorece finalizações rápidas.,Destreza,"A cada 10 níveis, recebe +1d8 de dano crítico e melhora sua pressão em alvos sangrando.",Sem limite,Boa para builds agressivas com crítico.,Menor alcance que armas médias,,Incomum,,Nenhum,Arma Leve,
Lâmina Vibrante,Corpo a corpo,,,,Ignora escudos,Arma,,20 / ignora escudo e soma +1d8 ressonante,—,1d8 + Mod. de Destreza,,,Média,Vibração ressonante supera bloqueios frontais.,Destreza,"Nos níveis altos, aumenta a ignorância de bloqueio e recebe +1d8 a cada 15 níveis.",Sem limite,Excelente contra guardiões e defensores.,Mais frágil contra impactos pesados,,Raro,,Nenhum,Arma Leve,
Punho de Metal Vivo,Corpo a corpo,,,,Adapta o tipo de impacto após analisar o alvo,Arma,,20 / adapta tipo e soma +1d8,—,1d8 + Mod. de Força ou Destreza,,,Alta,Se adapta ao dano do inimigo.,Força ou Destreza,"A cada 10 níveis, ganha novo modo adaptativo e +1d8 de dano contra o tipo analisado.",Sem limite,Arma viva focada em adaptação tática.,Demora 1 ataque para adaptar,,Épico,,Compatibilidade corporal ou luva de conexão,Arma Leve,
Espada Longa Arcana,Corpo a corpo,,,,Canaliza +1d6 elemental em ataque imbuído,Arma,,,—,1d10,,,Alta,Pode canalizar magia.,Força ou Destreza,,Sem limite,Arma média padrão para espadachins arcanos.,Canalização aumenta custo da magia associada em 10%,,Raro,,Usuário com Mana ou foco arcano,Arma Média,
Espada de Cristal,Corpo a corpo,,,,Crítico causa +2d10,Arma,,,—,1d10,,,Média,Explode fragmentos cristalinos em acertos perfeitos.,Destreza ou Força,,Sem limite,Arma de pico de dano e crítico.,Pode lascar sob impacto brutal,,Épico,,Nenhum,Arma Média,
Lança Tempestuosa,Corpo a corpo / linha curta,,,,Atinge até 2 alvos em linha,Arma,,,—,1d10,,,Alta,Descarga linear de vento e choque.,Força ou Destreza,,Sem limite,Ótima para formação e avanço agressivo.,Perde eficiência em espaço fechado,,Raro,,Nenhum,Arma Média,
Machado Incandescente,Corpo a corpo,,,,Aplica 1d6 de fogo contínuo,Arma,,,—,1d12,,,Alta,Causa dano contínuo em alvos atingidos.,Força,,Sem limite,Excelente contra alvos resistentes e lentos.,Menor precisão que lâminas leves,,Raro,,Nenhum,Arma Média,
Cajado Elemental,Corpo a corpo / 20 m para conjuração,,,,Reduz custo de magia em 10%,Arma,,,—,1d8,,,Média,Canalizador ideal para repertório elemental.,Inteligência,,Sem limite,Foco clássico para arcanistas.,Dano físico modesto,,Raro,,Usuário de Mana,Arma Média,
Corrente de Combate,3 m,,,,Pode puxar inimigos,Arma,,,—,1d8,,,Alta,Reposiciona alvo em até 2 m em acerto especial.,Destreza,,Sem limite,Arma técnica de controle tático.,Sofre em espaços muito apertados,,Incomum,,Nenhum,Arma Média,
Sabre Relâmpago,Corpo a corpo,,,,Segundo ataque com 50% de dano,Arma,,,—,1d10,,,Média,Cortes elétricos repetem parte do impacto.,Destreza,,1 ataque adicional por turno,Boa arma de sequência e mobilidade.,Segundo golpe não aplica efeitos completos,,Raro,,Nenhum,Arma Média,
Martelo de Gravidade,Corpo a corpo,,,,Reduz velocidade do alvo,Arma,,,—,1d12,,,Alta,Impacto cria zona de peso aumentado.,Força,,Sem limite,Ótimo contra avançadores e monstros grandes.,Arma pesada para a categoria,,Épico,,Nenhum,Arma Média,
Arco de Energia,24 m,,,,Flechas infinitas de energia,Arma,,,—,1d10,,,Alta,Dispensa munição física e adapta o tipo de brilho.,Destreza ou Inteligência,,Sem limite,Arma prática para campanhas longas.,Brilho pode denunciar posição,,Raro,,Nenhum,Arma Média,
Bastão de Ki,Corpo a corpo,,,,Regenera 2 Ki por turno,Arma,,,—,1d8,,,Alta,Sincroniza fluxo marcial com impacto contínuo.,Sabedoria,,Enquanto empunhado,Arma suporte para usuários técnicos de Ki.,Regeneração cessa se o usuário ficar Atordoado,,Raro,,Subclasse de Ki,Arma Média,
Martelo Sísmico,Corpo a corpo,,,,Derruba inimigos em impacto forte,Arma,,20 / derruba e soma +1d10 sísmico,—,1d20 + Mod. de Força,,,Alta,Abalo sísmico curta distância.,Força,"A cada 10 níveis, o impacto sísmico ganha +1d10 e melhora a área de queda.",Sem limite,Perfeito para controle físico de chefes.,Baixa cadência de ataque,,Épico,,Nenhum,Arma Pesada,
Lança do Abismo,3 m,,,,Ignora resistência,Arma,,,—,2d10,,,Alta,Ponta abissal perfura proteção energética.,Força,,Sem limite,Ótima contra criaturas blindadas ou resistentes.,Difícil de usar em espaços muito fechados,,Épico,,Nenhum,Arma Pesada,
Foice da Morte,Corpo a corpo,,,,Cura 50% do dano causado,Arma,,,—,2d10,,,Média,Roubo de vida em alvos vulneráveis.,Força ou Destreza,,Sem limite,Arma vampírica de sustentação ofensiva.,Cura reduzida contra construtos e mortos-vivos,,Épico,,Afinidade sombria,Arma Pesada,
Machado Duplo Brutal,Corpo a corpo / varredura curta,,,,Dano em área adjacente,Arma,,,—,2d10,,,Alta,Varre até 2 alvos próximos.,Força,,Sem limite,Pressão agressiva contra grupos.,-1 precisão contra alvos muito móveis,,Raro,,Força elevada recomendada,Arma Pesada,
Espadão do Colosso,Corpo a corpo,,Força,,Golpes aplicam a condição Guarda Quebrada,Arma,,20 / x2; em Postura Impulsiva ameaça 19–20,—,1d20 + Mod. de Força,,,Alta,Impacto brutal com alcance amplo.,Força,"Nos níveis 10, 20, 30, 40 e 50, recebe +1d10 adicional ou converte parte do dano em impacto em área pesada.",Sem limite,Arma de dano bruto para linha de frente.,-2 velocidade,,Raro,,Força elevada recomendada,Arma Pesada,3
Canhão Arcano,20 m,,,,Explosão em área de 3 m,Arma,,20 / explosão recebe +1d10 arcano,10 Mana,1d20 + Mod. de Inteligência,,,Média,Disparo concentrado de energia arcana em massa.,Inteligência,"A cada 10 níveis, aumenta a área em +1 m ou recebe +1d10 de dano explosivo; permanece arma de artilharia de alto nível.",Enquanto houver Mana,Arma de artilharia para builds arcanas.,Recarga de 1 turno,,Épico,,Usuário de Mana,Arma Pesada,
Espada de Plasma,Corpo a corpo,,,,Ignora armadura,Arma,,19–20 / ignora armadura e soma +1d12 plasma,—,1d20 + Mod. de Força ou Inteligência,,,Média,Lâmina superaquecida atravessa placas comuns.,Força ou Inteligência,"Nos níveis altos, recebe +1d10 de plasma a cada 10 níveis e perfuração crescente contra blindagens extremas.",Sem limite,Arma pesada de perfuração extrema.,Consome estabilidade térmica em ambientes frágeis,,Lendário,,Usuário com afinidade energética,Arma Pesada,
Martelo Celestial,Corpo a corpo,,,,+1d10 radiante extra,Arma,,20 / +1d12 radiante,—,1d20 + Mod. de Força,,,Alta,Impacto sagrado pune criaturas corrompidas.,Força,"A cada 10 níveis, o dano radiante cresce +1d10 e a arma pune ainda mais criaturas corrompidas.",Sem limite,"Arma pesada para paladinos, clérigos e executores.",Brilha e denuncia posição,,Lendário,,Afinidade sagrada recomendada,Arma Pesada,
Clava Demoníaca,Corpo a corpo,,,,Dano aumenta conforme HP baixo,Arma,,,—,2d12,,,Alta,Fome demoníaca amplifica o golpe em desespero.,Força,,Sem limite,Arma de risco e explosão final.,Pode induzir comportamento agressivo,,Épico,,Nenhum,Arma Pesada,
Arco Colossal,30 m,,,,Perfura múltiplos alvos,Arma,,,—,2d10,,,Alta,Setas massivas atravessam fileiras.,Força ou Destreza,,Sem limite,Arco para caçadores de monstros e campos abertos.,Disparo lento,,Épico,,Força mínima recomendada,Arma Pesada,
Lâmina do Tempo,Corpo a corpo,,,,10% de chance de repetir o turno,Arma,,19–20 / repete 1 golpe temporal leve,4 Mana por ativação,1d20 + Mod. de Destreza ou Inteligência,,,Média,Chance de repetir turno.,Destreza ou Inteligência,"A cada 10 níveis, melhora a chance de eco temporal ou soma +1d10 de dano cronal.",2 ativações por combate,Arma especial de altíssima mobilidade temporal.,Falha crítica gera atraso temporal pessoal,,Lendário,,Afinidade temporal,Arma Especial,
Foice da Entropia,Corpo a corpo,,,,Reduz atributos do alvo,Arma,,,—,2d10,,,Média,Cada crítico reduz 1 atributo físico ou mental do alvo por 2 turnos.,Força ou Inteligência,,2 ativações entrópicas por combate,Arma de debuff poderoso e risco elevado.,Usuário sofre desgaste gradual se abusar do efeito,,Lendário,,Afinidade entrópica,Arma Especial,
Cajado da Singularidade,18 m,,,,Cria mini buraco negro,Arma,,,8 Mana,2d8,,,Média,Área de sucção por 1 turno.,Inteligência,,2 usos por combate,Ferramenta arcana de controle massivo.,Risco de puxar aliados próximos,,Lendário,,Domínio de Gravidade ou Espaço,Arma Especial,
Espada do Espaço,Corpo a corpo / ignora distância curta,,,,Ignora distância,Arma,,,3 Mana por ataque especial,1d12,,,Alta,Ataques podem atingir através de dobras espaciais.,Destreza ou Inteligência,,3 cortes dimensionais por combate,Excelente para duelos contra alvos evasivos.,Consome foco em sequência longa,,Lendário,,Domínio espacial,Arma Especial,
Punho Gravitacional,3 m,,,,Atrai inimigos,Arma,,,2 Ki ou 3 Mana por uso,1d10,,,Alta,Puxa alvo em até 3 m antes ou depois do impacto.,"Força, Sabedoria ou Inteligência",,Sem limite enquanto houver recurso,Ótimo para iniciar combos e quebrar posicionamento.,Curto alcance efetivo,,Épico,,Nenhum,Arma Especial,
Lâmina do Caos,Corpo a corpo,,,,Gera efeito aleatório a cada acerto importante,Arma,,,—,1d4–3d12,,,Média,Imprevisível.,Força ou Destreza,,Sem limite,Arma de altíssima variância e identidade selvagem.,Pode produzir resultado inferior ao esperado,,Lendário,,Aceitação do risco caótico,Arma Especial,
Espada da Realidade,Corpo a corpo / linha curta,,,,Ignora regras físicas locais,Arma,,20 / corte impossível soma +1d12 de ruptura,5 Mana por corte impossível,1d20 + Mod. de Inteligência ou Força,,,Alta,"Pode atravessar matéria comum, ângulos improváveis ou cobertura total frágil.",Inteligência ou Força,"Nos níveis altos, ignora cada vez mais leis locais e recebe +1d10 a cada 10 níveis.",2 cortes impossíveis por combate,Arma especial de ruptura máxima.,Uso excessivo causa instabilidade no cenário,,Lendário,,Domínio de Realidade,Arma Especial,
Arco Dimensional,24 m,,,,Teleporta flechas,Arma,,,—,2d8,,,Alta,Projéteis surgem por trás de cobertura parcial.,Destreza ou Inteligência,,Sem limite,Arma de caça e assassinato tático.,Menor dano contra campos antiporte,,Épico,,Afinidade espacial opcional,Arma Especial,
Martelo do Vazio,Corpo a corpo,,,,Remove buffs,Arma,,20 / remove buff e soma +1d12 do vazio,4 Mana por impacto especial,1d20 + Mod. de Força,,,Alta,Golpes anulam até 1 efeito positivo do alvo.,Força,"Nos níveis altos, cada anulação remove efeitos mais fortes e a arma ganha +1d10 por marco de 10 níveis.",3 anulações por combate,Arma perfeita contra chefes fortalecidos.,Ataques especiais têm uso limitado,,Lendário,,Nenhum,Arma Especial,
Adaga da Alma,Corpo a corpo,,,,Dano direto na energia do alvo,Arma,,,—,1d8,,,Média,Ignora parte da Vida temporária e drena recurso em acerto crítico.,Destreza ou Sabedoria,,Sem limite,Ótima contra conjuradores e usuários de Ki.,Pouco efeito contra máquinas e corpos vazios,,Épico,,Afinidade espiritual,Arma Especial,
Lâmina Parasita,Corpo a corpo,,,,Rouba atributos,Arma,,,—,1d10,,,Média,Reduz 1 atributo do alvo e transfere bônus temporário ao usuário em crítico.,Destreza ou Constituição,,2 drenos por combate,Arma tática de roubo biológico.,Dreno falho pode ferir o portador,,Épico,,Origem Flagelado,Arma de Flagelado,
Foice Óssea,Corpo a corpo,,,,Aplica sangramento constante,Arma,,,—,2d8,,,Alta,Sangramento contínuo de 1d6 por 2 turnos.,Força ou Destreza,,Sem limite,Arma cruenta de pressão contínua.,Menor eficiência contra construtos,,Raro,,Origem Flagelado,Arma de Flagelado,
Espada de Carne Viva,Corpo a corpo,,,,Ganha +1 dano a cada 10% de Vida perdida,Arma,,,—,2d10,,,Alta,Cresce com dano recebido.,Força ou Constituição,,Sem limite,Arma orgânica de escalonamento agressivo.,Pode pulsar e denunciar posição,,Épico,,Origem Flagelado,Arma de Flagelado,
Braço Mutante,Variável 2–5 m,,,,Alcance variável,Arma,,,2 EF por extensão máxima,2d12,,,Alta,"Membro cresce, endurece e se deforma conforme a necessidade.",Força,,Sem limite enquanto houver EF,Arma corporal brutal e adaptativa.,Uso contínuo pode deixar o braço Inerte,,Épico,,Origem Flagelado,Arma de Flagelado,
Corrente Orgânica,4 m,,,,Prende inimigos,Arma,,,—,1d10,,,Alta,Laços vivos enrolam o alvo e reduzem deslocamento a zero se falhar na resistência.,Constituição ou Destreza,,Sem limite,Ferramenta viva de captura e controle.,Vulnerável a fogo intenso,,Raro,,Origem Flagelado,Arma de Flagelado,
Clava Pulsante,Corpo a corpo,,,,Dano em ondas,Arma,,,—,2d10,,,Alta,"Após o impacto, libera pulsação que causa metade do dano em adjacentes.",Força,,Sem limite,Arma de esmagamento e propagação.,Cadência baixa,,Épico,,Origem Flagelado,Arma de Flagelado,
Garras Abissais,Corpo a corpo,,,,Múltiplos ataques,Arma,,,2 EF por sequência,2d8,,,Alta,Realiza até 3 ataques leves no mesmo turno.,Destreza ou Força,,1 sequência por turno,Arma de combo e pressão selvagem.,Cada ataque adicional sofre -1 precisão,,Épico,,Origem Flagelado,Arma de Flagelado,
Lâmina Instável,Corpo a corpo,,,,Pico de dano extremo,Arma,,19–20 / +1d12 instável e autodano ampliado,—,1d20 + Mod. de Força ou Constituição,,,Média,"Golpe libera explosão irregular de carne, osso e energia.",Força ou Constituição,"A cada 10 níveis, recebe +1d10 caótico e aumenta sua explosão de risco-recompensa.",Sem limite,Arma de all-in para builds arriscadas.,Causa dano ao usuário (1d8),,Lendário,,Origem Flagelado,Arma de Flagelado,
Arco Carnívoro,24 m,,,,Converte HP em dano adicional,Arma,,,5% da Vida por disparo carregado,2d8,,,Média,Consome HP para aumentar impacto do projétil.,Constituição ou Destreza,,Sem limite até colapso,Arma biológica de sacrifício ofensivo.,Autodano cumulativo,,Épico,,Origem Flagelado,Arma de Flagelado,
Espada da Loucura,Corpo a corpo,,,,Aplica confusão,Arma,,20 / confusão agravada e +1d12 psíquico,—,1d20 + Mod. de Força ou Sabedoria corrompida,,,Alta,Acertos bem-sucedidos podem impor Confuso por 1 turno.,Força ou Sabedoria corrompida,"Nos níveis altos, a confusão escala em duração e o dano psíquico cresce +1d10 a cada 10 níveis.",Sem limite,Arma insana de ruptura psíquica.,Usuário faz teste para não sofrer instabilidade mental,,Lendário,,Origem Flagelado,Arma de Flagelado,
Túnica Arcana,—,,Inteligência,,-15% custo de Mana,Armadura,,,—,,"+2 base, +1 a cada 3 níveis do item; contribuição máxima 14, Defesa final recomendada do usuário até 50 com suporte mágico",,Média,Canalização mais estável para conjuradores.,Inteligência,Escala em conjuradores de nível alto ao combinar redução de custo com ganho gradual de Defesa e resistência arcana.,Passiva,Túnica escalável para permanecer relevante até o nível máximo.,Proteção física limitada,,Raro,,Usuário de Mana,Armadura Leve,2
Armadura de Ferro Pesado,—,,,,Alta proteção física,Armadura,,,—,,"+5 base, +1 a cada 2 níveis do item; contribuição máxima 20, Defesa final recomendada do usuário até 50",,Alta,Absorve bem dano contundente e cortante.,—,"Nos níveis 10, 20, 30, 40 e 50, a armadura aumenta sua redução física e contribui progressivamente até o teto funcional de Defesa 50 do personagem.",Passiva,Armadura pesada de referência para tanques de fim de jogo.,-2 velocidade,,Comum,,Força mínima recomendada,Armadura Pesada,
Armadura de Ki,—,,Sabedoria,,+2 Ki por turno,Armadura,,,—,,"+3 base, +1 a cada 3 níveis; contribuição máxima 16, Defesa final recomendada até 50 com técnicas de Ki",,Alta,Fluxo interno contínuo alimenta técnicas.,Sabedoria,A regeneração de Ki e a Defesa crescem juntas em marcos altos para manter viabilidade em nível máximo.,Passiva,Armadura de Ki agora permanece competitiva em campanhas longas.,Perde parte do efeito sob silêncio espiritual,,Raro,,Subclasse de Ki,Armadura Média,2
Armadura de Cristal,—,,,,Reflete 10% do dano,Armadura,,,—,,"+4 base, +1 a cada 2 níveis; contribuição máxima 18, Defesa final recomendada até 50",,Média,Refração cristalina devolve parte do impacto recebido.,—,"A reflexão e a Defesa sobem em marcos altos, transformando a armadura em opção sólida de late game.",Passiva,"Escala entre defesa, retorno de dano e resistência estrutural.",Pode lascar sob esmagamento contínuo,,Épico,,Nenhum,Armadura Média,
Manto das Sombras,—,,,,Invisibilidade parcial,Armadura,,,2 Mana por turno em ocultação total,,"+2 base, +1 a cada 4 níveis; contribuição máxima 12, Defesa final recomendada até 50 com evasão e ocultação",,Média,Dificulta ser alvo de ataques à distância e percepção.,Destreza ou Inteligência,"Em níveis altos, aumenta a eficiência da ocultação e transforma parte da Destreza em defesa adicional.",Enquanto houver recurso,"Defesa escalada por evasão, não por blindagem direta.",Menor resistência em luz intensa,,Épico,,Afinidade sombria ou furtividade avançada,Armadura Leve,
Armadura Vulcânica,Contato,,,,Dano de fogo ao contato,Armadura,,,—,,"+5 base, +1 a cada 2 níveis; contribuição máxima 19, Defesa final recomendada até 50",,Alta,Inimigos corpo a corpo sofrem 1d6 de fogo ao acertar o usuário.,—,"Nos níveis altos, o retorno de fogo e a resistência térmica aumentam junto com a blindagem.",Passiva,Armadura ofensiva pesada relevante no late game.,Pode atrair atenção e causar calor excessivo,,Épico,,Resistência térmica recomendada,Armadura Pesada,
Armadura Celestial,—,,,,Resistência mágica,Armadura,,,—,,"+4 base, +1 a cada 2 níveis; contribuição máxima 18, Defesa final recomendada até 50",,Alta,Reduz dano mágico recebido e facilita resistências espirituais.,—,"Cresce em resistência mágica, proteção espiritual e Defesa por tier alto.",Passiva,Armadura média de elite para confrontos energéticos e sagrados.,Brilho constante pode denunciar posição,,Lendário,,Afinidade sagrada opcional,Armadura Média,
Carapaça Flagelada,—,,Constituição,,Regenera lentamente,Armadura,,,—,,"+6 base, +1 a cada 2 níveis; contribuição máxima 22, Defesa final recomendada até 50",,Alta,"Recupera 1d4 de Vida por turno, mas aumenta risco de perder controle.",Constituição,"A regeneração e a blindagem orgânica aumentam muito em níveis altos, mantendo a armadura no topo defensivo.",Passiva,Uma das melhores armaduras de progressão para linha de frente.,Pode impor Instável sob estresse,,Lendário,,Origem Flagelado,Armadura Pesada,3
